Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",11.85,12.70,11.83,12.28,"1,310,230","23,698,800"
"Dec 15, 2017",12.85,13.02,11.68,11.83,"3,197,290","25,707,500"
"Dec 14, 2017",9.88,14.04,9.13,12.84,"2,704,270","19,753,300"
"Dec 13, 2017",7.11,11.51,6.68,9.89,"2,155,880","14,216,000"
"Dec 12, 2017",6.91,7.33,6.31,7.10,"892,902","171,434,000"
"Dec 11, 2017",7.26,7.49,6.66,6.89,"678,028","179,915,000"
"Dec 10, 2017",6.87,8.20,6.15,7.29,"1,255,790","170,298,000"
"Dec 09, 2017",6.50,7.31,6.39,6.85,"607,189","161,101,000"
"Dec 08, 2017",7.08,7.48,6.12,6.50,"846,270","175,649,000"
"Dec 07, 2017",7.32,7.32,6.47,7.12,"1,038,980","181,500,000"
"Dec 06, 2017",7.47,8.05,6.81,7.34,"1,289,950","185,318,000"
"Dec 05, 2017",7.12,7.81,6.70,7.49,"1,397,810","176,464,000"
"Dec 04, 2017",6.83,7.33,6.45,7.10,"1,389,070","169,436,000"
"Dec 03, 2017",7.31,7.81,6.67,6.89,"1,389,250","181,333,000"
"Dec 02, 2017",9.01,9.05,7.27,7.32,"2,303,460","223,376,000"
"Dec 01, 2017",8.01,9.12,7.92,9.02,"1,757,890","198,720,000"
"Nov 30, 2017",8.61,8.77,7.35,8.05,"1,769,440","213,435,000"
"Nov 29, 2017",9.16,9.72,7.91,7.99,"2,429,480","227,099,000"
"Nov 28, 2017",9.52,9.95,8.12,9.17,"3,404,190","236,113,000"
"Nov 27, 2017",8.25,10.01,7.78,8.93,"2,799,430","204,487,000"
"Nov 26, 2017",8.01,8.70,7.61,8.24,"2,590,430","198,627,000"
"Nov 25, 2017",7.28,8.01,6.98,8.01,"3,079,690","180,480,000"
"Nov 24, 2017",5.81,14.18,5.44,7.29,"4,244,840",-
"Nov 23, 2017",6.83,6.86,5.51,5.82,"397,164",-
"Nov 22, 2017",2.85,8.08,2.84,6.72,"838,655",-
"Nov 21, 2017",2.93,3.27,2.74,2.85,"313,349",-
"Nov 20, 2017",3.01,3.21,2.80,2.93,"336,954",-
"Nov 19, 2017",3.01,3.10,2.79,3.02,"207,837",-
"Nov 18, 2017",2.97,3.06,2.79,3.02,"181,506",-
"Nov 17, 2017",3.23,3.29,2.90,2.98,"274,761",-
"Nov 16, 2017",3.12,3.55,2.89,3.23,"403,579",-
"Nov 15, 2017",2.99,3.37,2.99,3.11,"328,776",-
"Nov 14, 2017",2.66,3.36,2.66,2.99,"303,585",-
"Nov 13, 2017",2.16,3.15,2.12,2.99,"324,224",-
"Nov 12, 2017",2.33,2.33,1.95,2.14,"140,886",-
"Nov 11, 2017",2.46,2.46,2.20,2.33,"184,703",-
"Nov 10, 2017",2.14,2.49,2.06,2.11,"274,725",-
"Nov 09, 2017",2.29,2.35,2.06,2.14,"194,187",-
"Nov 08, 2017",2.12,2.37,2.04,2.30,"227,672",-
"Nov 07, 2017",2.09,2.18,1.98,2.13,"223,115",-
"Nov 06, 2017",2.03,2.37,1.95,2.09,"215,422",-
"Nov 05, 2017",2.30,2.33,2.01,2.03,"141,702",-
"Nov 04, 2017",2.27,2.34,2.10,2.30,"117,197",-
"Nov 03, 2017",2.10,2.28,2.07,2.27,"219,889",-
"Nov 02, 2017",2.53,2.69,2.07,2.09,"235,770",-
"Nov 01, 2017",2.25,2.84,2.01,2.53,"499,209",-
"Oct 31, 2017",2.29,2.43,2.09,2.25,"319,023",-
"Oct 30, 2017",2.19,2.37,2.13,2.29,"240,235",-
"Oct 29, 2017",2.10,2.33,2.10,2.20,"105,648",-
"Oct 28, 2017",2.26,2.39,2.10,2.10,"185,466",-
"Oct 27, 2017",2.27,2.49,2.10,2.26,"205,865",-
"Oct 26, 2017",2.29,2.59,1.90,2.27,"296,453",-
"Oct 25, 2017",2.17,2.33,2.09,2.29,"304,953",-
