Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",1.46,1.92,1.41,1.77,"168,644","41,019,300"
"Dec 15, 2017",1.32,1.56,1.19,1.45,"127,351","37,245,000"
"Dec 14, 2017",1.33,1.39,1.14,1.30,"75,563","37,326,000"
"Dec 13, 2017",1.13,1.38,1.10,1.33,"84,990","31,730,100"
"Dec 12, 2017",1.11,1.16,0.941901,1.13,"128,520","31,166,800"
"Dec 11, 2017",0.948956,1.11,0.948956,1.11,"64,538","26,728,900"
"Dec 10, 2017",1.09,1.09,0.807018,0.928431,"53,657","30,838,100"
"Dec 09, 2017",0.958737,1.11,0.883104,1.09,"124,005","27,004,400"
"Dec 08, 2017",0.812467,0.978222,0.774164,0.958595,"38,024","22,884,500"
"Dec 07, 2017",0.771290,0.838570,0.742758,0.817469,"65,332","21,724,700"
"Dec 06, 2017",0.854278,0.874510,0.743583,0.773468,"58,263","24,062,200"
"Dec 05, 2017",0.827809,0.897651,0.798649,0.837437,"21,791","23,316,600"
"Dec 04, 2017",0.730705,0.926902,0.698123,0.827449,"70,398","20,581,500"
"Dec 03, 2017",0.677749,0.740684,0.677722,0.729815,"23,295","19,089,900"
"Dec 02, 2017",0.702606,0.749622,0.677406,0.677586,"13,217","19,790,100"
"Dec 01, 2017",0.600771,0.731134,0.600771,0.703241,"32,065","16,270,900"
"Nov 30, 2017",0.647112,1.08,0.585688,0.595776,"228,158","17,525,900"
"Nov 29, 2017",0.713976,0.743147,0.566786,0.639995,"28,459","19,336,900"
"Nov 28, 2017",0.755881,0.830625,0.695373,0.713618,"38,373","20,471,800"
"Nov 27, 2017",0.876046,0.883303,0.695659,0.756186,"29,939","23,726,200"
"Nov 26, 2017",0.708225,0.909163,0.692783,0.876199,"54,085","19,181,100"
"Nov 25, 2017",0.803117,0.807475,0.662227,0.708206,"18,581","21,751,100"
"Nov 24, 2017",0.785516,0.813205,0.692795,0.803221,"19,003","21,274,400"
"Nov 23, 2017",0.805951,0.927040,0.775424,0.788527,"32,067","21,827,800"
"Nov 22, 2017",0.766220,0.825976,0.735099,0.804357,"24,685","20,751,800"
"Nov 21, 2017",0.724067,0.802955,0.687682,0.765514,"13,305",-
"Nov 20, 2017",0.702244,0.818601,0.668313,0.724637,"16,090",-
"Nov 19, 2017",0.739191,0.789745,0.678141,0.712006,"9,438",-
"Nov 18, 2017",0.793899,0.795919,0.667994,0.740619,"11,896",-
"Nov 17, 2017",0.737475,0.816586,0.710091,0.795035,"24,079",-
"Nov 16, 2017",0.783412,0.804200,0.706600,0.737974,"23,654",-
"Nov 15, 2017",0.781340,0.844767,0.681887,0.783939,"35,602",-
"Nov 14, 2017",0.821477,0.844550,0.680159,0.780939,"28,550",-
"Nov 13, 2017",0.733073,0.827505,0.727803,0.821509,"7,278",-
"Nov 12, 2017",0.754293,0.823191,0.672612,0.731933,"18,576",-
"Nov 11, 2017",0.741871,0.804100,0.737320,0.754228,"8,722",-
"Nov 10, 2017",0.801853,0.829691,0.736564,0.749523,"29,127",-
"Nov 09, 2017",0.809801,0.849214,0.773315,0.810909,"23,203",-
"Nov 08, 2017",0.821087,0.825524,0.812855,0.812855,"35,214",-
