Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.274480,0.339836,0.214461,0.281929,"885,950","20,754,600"
"Dec 15, 2017",0.389400,0.407165,0.208404,0.273965,"1,033,580","29,444,200"
"Dec 14, 2017",0.318281,0.396889,0.309516,0.388761,"458,151","24,066,600"
"Dec 13, 2017",0.410127,0.415956,0.295832,0.301471,"662,428","31,011,600"
"Dec 12, 2017",0.405379,0.421244,0.379072,0.404535,"891,616","30,652,600"
"Dec 11, 2017",0.359694,0.413152,0.357987,0.404290,"807,975","27,198,100"
"Dec 10, 2017",0.284849,0.381713,0.248020,0.362324,"698,197","21,538,700"
"Dec 09, 2017",0.346009,0.423044,0.272270,0.284906,"911,990","26,163,300"
"Dec 08, 2017",0.209807,0.360114,0.197926,0.336562,"1,055,890","15,864,500"
"Dec 07, 2017",0.394043,0.394043,0.137716,0.208492,"2,406,920","29,795,400"
"Dec 06, 2017",0.203866,0.600358,0.199135,0.416304,"5,356,030","15,415,200"
"Dec 05, 2017",0.057930,0.227651,0.049156,0.209225,"2,051,440","4,380,320"
"Dec 04, 2017",0.030260,0.057366,0.030226,0.057366,"211,600","2,288,070"
"Dec 03, 2017",0.024769,0.032843,0.021923,0.030160,"60,138","1,872,870"
"Dec 02, 2017",0.018987,0.027618,0.018587,0.024745,"20,274","1,435,730"
"Dec 01, 2017",0.017275,0.019128,0.015602,0.019004,"2,592","1,306,210"
"Nov 30, 2017",0.018554,0.021052,0.014658,0.017361,"10,334","1,402,950"
"Nov 29, 2017",0.014343,0.022575,0.012380,0.018273,"20,121","1,084,550"
"Nov 28, 2017",0.012845,0.014358,0.011123,0.014358,"4,687","971,308"
"Nov 27, 2017",0.011648,0.014710,0.009645,0.012812,"25,480","880,792"
"Nov 26, 2017",0.011978,0.013426,0.011484,0.011646,"2,118","905,710"
"Nov 25, 2017",0.012313,0.012921,0.011804,0.011982,"1,338","931,015"
"Nov 24, 2017",0.012061,0.012508,0.011831,0.012338,"22,883","911,995"
"Nov 23, 2017",0.012338,0.012398,0.012078,0.012078,"22,448","932,915"
"Nov 22, 2017",0.013794,0.014006,0.012120,0.012342,"22,870","1,043,020"
"Nov 21, 2017",0.014010,0.014381,0.013165,0.013761,"2,958","1,059,390"
"Nov 20, 2017",0.013979,0.014545,0.013669,0.014008,"5,449","1,057,040"
"Nov 19, 2017",0.013471,0.014826,0.013195,0.014628,"5,043","1,018,630"
"Nov 18, 2017",0.012761,0.013782,0.012222,0.013496,"3,539","964,890"
"Nov 17, 2017",0.012147,0.015144,0.012147,0.012810,"2,830","918,485"
"Nov 16, 2017",0.014679,0.014679,0.009173,0.012245,"17,759","1,109,950"
"Nov 15, 2017",0.013884,0.015181,0.013229,0.014603,"8,731","1,049,860"
"Nov 14, 2017",0.012670,0.013884,0.012655,0.013875,"2,965","958,026"
"Nov 13, 2017",0.010978,0.012847,0.010893,0.012643,"6,674","830,127"
"Nov 12, 2017",0.012086,0.018904,0.008638,0.010962,"19,475","913,897"
"Nov 11, 2017",0.017423,0.017854,0.010316,0.012095,"14,943","1,317,460"
"Nov 10, 2017",0.018789,0.021259,0.016774,0.017486,"9,674","1,420,700"
"Nov 09, 2017",0.016503,0.024296,0.014242,0.018733,"16,244","1,247,860"
"Nov 08, 2017",0.018570,0.020095,0.013375,0.016520,"19,485","1,404,180"
"Nov 07, 2017",0.019415,0.021734,0.014034,0.018629,"17,263","1,468,080"
"Nov 06, 2017",0.021810,0.024891,0.015834,0.019446,"20,299","1,649,180"
"Nov 05, 2017",0.022142,0.028768,0.019154,0.021762,"35,232","1,674,270"
"Nov 04, 2017",0.019859,0.032287,0.019110,0.021447,"108,606","1,501,620"
"Nov 03, 2017",0.019030,0.020525,0.018021,0.019911,"20,109","1,438,950"
"Nov 02, 2017",0.016664,0.020247,0.015553,0.019055,"43,264","1,260,010"
"Nov 01, 2017",0.014918,0.018849,0.012315,0.016645,"43,871","1,128,000"
"Oct 31, 2017",0.008742,0.015536,0.008742,0.014929,"51,411","661,013"
"Oct 30, 2017",0.008435,0.008777,0.007026,0.008772,"8,989","637,807"
"Oct 29, 2017",0.007045,0.008524,0.006236,0.008484,"3,303","532,730"
"Oct 28, 2017",0.007769,0.007810,0.005269,0.007069,"6,839","587,468"
"Oct 27, 2017",0.004945,0.007825,0.004427,0.007735,"17,316","373,907"
"Oct 26, 2017",0.004135,0.005241,0.003660,0.004944,"4,742","312,638"
"Oct 25, 2017",0.003796,0.005000,0.003204,0.004135,"4,030","287,060"
"Oct 24, 2017",0.002079,0.004455,0.001702,0.003795,"6,184","157,193"
"Oct 23, 2017",0.006637,0.006639,0.002058,0.002083,"13,298","501,855"
"Oct 22, 2017",0.004902,0.006860,0.004902,0.006648,"2,009","370,636"
"Oct 21, 2017",0.004739,0.006253,0.003811,0.004900,"5,062","358,318"
"Oct 20, 2017",0.006614,0.006637,0.004238,0.004749,"11,512","500,079"
"Oct 19, 2017",0.006068,0.006637,0.004341,0.006612,"8,806","458,813"
"Oct 18, 2017",0.005023,0.006344,0.004224,0.006065,"8,668","379,837"
"Oct 17, 2017",0.004116,0.005931,0.003696,0.005023,"4,509","311,251"
"Oct 16, 2017",0.003131,0.008410,0.002908,0.004116,"30,708","236,714"
"Oct 15, 2017",0.003511,0.005240,0.002354,0.003130,"9,610","265,464"
"Oct 14, 2017",0.001697,0.003509,0.001681,0.003504,"2,864","128,295"
"Oct 13, 2017",0.001632,0.001763,0.001622,0.001696,"1,978","123,419"
"Oct 12, 2017",0.001158,0.001941,0.001155,0.001627,"1,897","87,584"
