Date,Open,High,Low,Close,Volume,Market Cap
"Sep 21, 2017",3.45,3.57,3.13,3.32,"707,557","30,747,900"
"Sep 20, 2017",3.33,3.59,3.19,3.47,"8,095","29,608,000"
"Sep 19, 2017",3.41,3.60,3.31,3.33,"24,164",-
"Sep 16, 2017",3.45,4.36,3.39,4.31,"24,041","30,733,000"
"Sep 15, 2017",4.19,4.29,3.10,3.46,"1,104,840","37,253,600"
"Sep 14, 2017",3.88,4.40,3.65,4.15,"16,141","34,555,900"
"Sep 13, 2017",4.25,4.30,3.65,3.88,"125,914","37,787,200"
"Sep 12, 2017",4.22,4.33,3.99,4.24,"1,290,590","37,517,300"
"Sep 11, 2017",3.96,4.31,3.90,4.22,"881,908","35,282,000"
"Sep 10, 2017",4.04,4.04,3.77,3.95,"4,940","35,978,800"
"Sep 09, 2017",4.03,4.10,3.92,4.04,"7,698","35,865,900"
"Sep 08, 2017",4.30,4.36,3.86,4.02,"1,241,030","38,237,200"
"Sep 07, 2017",4.34,4.38,4.21,4.30,"1,096,010","38,617,100"
"Sep 06, 2017",4.36,4.66,4.28,4.35,"22,079","38,822,200"
"Sep 05, 2017",4.27,4.44,4.02,4.36,"458,662","37,995,300"
"Sep 04, 2017",4.47,4.47,2.28,4.25,"996,565","39,795,400"
"Sep 03, 2017",4.38,4.58,4.16,4.47,"72,856","38,988,900"
"Sep 02, 2017",4.82,4.86,3.67,4.38,"63,599","42,904,800"
"Sep 01, 2017",4.64,4.82,4.36,4.81,"868,008","41,286,400"
"Aug 31, 2017",4.34,4.66,4.15,4.64,"742,118","868,267"
"Aug 30, 2017",4.41,4.46,4.01,4.35,"67,008","882,057"
"Aug 29, 2017",4.13,4.46,3.95,4.42,"1,408,000","825,980"
"Aug 28, 2017",4.22,4.22,3.87,4.12,"5,068,210","843,476"
"Aug 27, 2017",4.04,4.22,2.60,4.21,"187,517","808,187"
"Aug 26, 2017",4.06,4.15,3.84,4.04,"192,638","812,127"
"Aug 25, 2017",4.03,4.32,3.94,4.05,"217,006","805,147"
"Aug 24, 2017",3.85,4.06,3.77,4.03,"4,343,080","770,590"
"Aug 23, 2017",3.02,3.95,3.01,3.85,"5,668,210","604,738"
"Aug 22, 2017",2.96,3.38,2.68,3.03,"6,169,050","592,138"
"Aug 21, 2017",2.43,3.35,2.27,2.95,"2,244,040","486,005"
"Aug 20, 2017",2.49,2.49,2.23,2.44,"15,835","497,430"
"Aug 19, 2017",2.37,2.51,2.19,2.50,"27,802","474,947"
"Aug 18, 2017",2.57,2.61,2.25,2.38,"159,609","513,578"
"Aug 17, 2017",2.59,2.69,1.46,2.58,"111,527","517,088"
"Jun 19, 2017",0.649431,0.749152,0.624501,0.624501,"7,968","129,886"
"Jun 18, 2017",0.624251,0.649481,0.624251,0.649431,"11,853","124,850"
"Jun 17, 2017",0.624501,0.749402,0.624251,0.624251,"63,388","124,900"
"Jun 16, 2017",0.598618,2.00,0.574720,0.624501,"29,511","119,724"
"Jun 15, 2017",0.602056,0.613564,0.532077,0.599060,"12,207","120,411"
"Jun 14, 2017",0.676990,0.691590,0.518169,0.602083,"5,840","135,398"
"Jun 13, 2017",0.633927,0.690323,0.633927,0.677386,"37,210",-
"Jun 12, 2017",0.743580,0.745828,0.058187,0.636055,424,-
"Jun 11, 2017",0.636079,0.744758,0.629326,0.744569,"4,368",-
"Jun 10, 2017",0.618281,0.637411,0.617512,0.636446,"1,782",-
"Jun 09, 2017",0.616287,0.628203,0.613728,0.617353,"7,602",-
"Jun 08, 2017",0.588988,0.617263,0.576169,0.617263,"1,235",-
"Jun 07, 2017",0.630661,0.632260,0.578512,0.594459,"1,096",-
"Jun 06, 2017",0.623448,6.45,0.596430,0.630501,"12,520",-
