Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.235915,0.424144,0.234454,0.397549,"9,882,410","34,111,200"
"Dec 15, 2017",0.240365,0.249719,0.221483,0.234651,"4,332,150","34,754,600"
"Dec 14, 2017",0.250531,0.262656,0.204476,0.241212,"5,461,140","36,224,600"
"Dec 13, 2017",0.190692,0.269301,0.190692,0.256361,"6,433,710","27,572,400"
"Dec 12, 2017",0.204414,0.230568,0.154375,0.186400,"3,579,420","29,556,400"
"Dec 11, 2017",0.190924,0.208323,0.185435,0.204609,"433,784","27,605,900"
"Dec 10, 2017",0.209311,0.209311,0.183380,0.195535,"353,120","30,264,400"
"Dec 09, 2017",0.214451,0.227378,0.189499,0.208473,"506,636","31,007,700"
"Dec 08, 2017",0.213064,0.250374,0.192864,0.214567,"722,582","30,807,200"
"Dec 07, 2017",0.223656,0.305965,0.204340,0.207567,"1,307,580","32,338,600"
"Dec 06, 2017",0.205222,0.231584,0.189509,0.224194,"853,944","29,673,300"
"Dec 05, 2017",0.204300,0.216464,0.191166,0.205509,"543,641","29,539,900"
"Dec 04, 2017",0.199269,0.207922,0.186084,0.206400,"376,300","28,812,400"
"Dec 03, 2017",0.201350,0.213359,0.189232,0.198783,"259,799","29,113,400"
"Dec 02, 2017",0.205323,0.210002,0.181618,0.201201,"357,848","29,687,900"
"Dec 01, 2017",0.191872,0.219365,0.185378,0.202949,"363,896","27,743,000"
"Nov 30, 2017",0.189149,0.204550,0.170006,0.192603,"1,616,890","27,349,200"
"Nov 29, 2017",0.219847,0.245673,0.174988,0.186009,"3,865,270","31,787,800"
"Nov 28, 2017",0.224139,0.249522,0.199627,0.219994,"4,636,130","32,408,500"
"Nov 27, 2017",0.186538,0.253308,0.181599,0.223757,"3,661,480","26,971,700"
"Nov 26, 2017",0.186619,0.198667,0.179864,0.186502,"361,311","26,983,500"
"Nov 25, 2017",0.188177,0.192821,0.180658,0.187091,"155,592","27,208,700"
"Nov 24, 2017",0.177802,0.203475,0.174249,0.188696,"208,276","25,708,500"
"Nov 23, 2017",0.199048,0.213048,0.184290,0.184290,"354,060","28,780,600"
"Nov 22, 2017",0.200664,0.200723,0.183767,0.198928,"321,588","29,014,300"
"Nov 21, 2017",0.190390,0.209244,0.183125,0.200247,"218,569","27,528,700"
"Nov 20, 2017",0.176445,0.214286,0.172785,0.190595,"337,384","25,512,300"
"Nov 19, 2017",0.182328,0.187156,0.173315,0.176623,"204,366","26,363,000"
"Nov 18, 2017",0.170888,0.195634,0.164726,0.182771,"398,994","24,708,800"
"Nov 17, 2017",0.186263,0.191371,0.166708,0.171251,"243,621","26,931,900"
"Nov 16, 2017",0.196957,0.211495,0.182222,0.186280,"302,716","28,478,100"
"Nov 15, 2017",0.211804,0.226949,0.191851,0.196599,"233,507","30,625,000"
"Nov 14, 2017",0.229408,0.235699,0.207544,0.213593,"312,574","33,170,400"
"Nov 13, 2017",0.212173,0.230743,0.197420,0.229222,"487,490","30,678,400"
"Nov 12, 2017",0.244702,0.255209,0.198448,0.211774,"650,690","35,381,700"
"Nov 11, 2017",0.261623,0.279355,0.237665,0.244929,"963,261","37,828,300"
"Nov 10, 2017",0.241621,0.287720,0.236676,0.260376,"1,615,510","34,936,200"
"Nov 09, 2017",0.237350,0.253568,0.224025,0.241495,"141,301","34,318,600"
"Nov 08, 2017",0.219814,0.247094,0.218873,0.238628,"73,753","31,783,200"
"Nov 07, 2017",0.237206,0.254684,0.213909,0.219998,"81,512","34,297,800"
"Nov 06, 2017",0.220449,0.283635,0.207242,0.236863,"213,076","31,874,900"
"Nov 05, 2017",0.212509,0.238236,0.183334,0.220231,"66,713","30,726,900"
"Nov 04, 2017",0.206617,0.214247,0.188591,0.212581,"35,388","29,874,900"
"Nov 03, 2017",0.173626,0.208426,0.167742,0.206607,"78,769","25,104,700"
"Nov 02, 2017",0.192046,0.220144,0.161712,0.172890,"111,806","27,768,200"
"Nov 01, 2017",0.207707,0.220520,0.186077,0.192203,"93,347","30,032,500"
"Oct 31, 2017",0.260669,0.261266,0.208817,0.208817,"78,257","37,690,500"
"Oct 30, 2017",0.272574,0.282163,0.236823,0.259957,"137,723",-
"Oct 29, 2017",0.227252,0.291707,0.227252,0.263104,"114,896",-
"Oct 28, 2017",0.218157,0.229528,0.203137,0.227442,"32,908",-
"Oct 27, 2017",0.240443,0.259709,0.195909,0.218368,"81,208",-
"Oct 26, 2017",0.213419,0.272253,0.212321,0.235420,"50,868",-
"Oct 25, 2017",0.266597,0.287684,0.213836,0.213836,"43,018",-
"Oct 24, 2017",0.162857,0.270342,0.161194,0.266348,"63,596",-
"Oct 23, 2017",0.197210,0.206665,0.129922,0.159639,"35,697",-
