Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.708296,1.21,0.704662,1.19,"43,238,500","247,903,000"
"Dec 15, 2017",0.742477,0.790444,0.668639,0.706517,"10,861,900","259,867,000"
"Dec 14, 2017",0.698387,0.762090,0.690710,0.748053,"10,341,200","244,435,000"
"Dec 13, 2017",0.637412,0.806713,0.586760,0.698579,"16,769,400","223,094,000"
"Dec 12, 2017",0.616150,0.645194,0.564863,0.641449,"12,663,300","215,653,000"
"Dec 11, 2017",0.693588,0.719371,0.582934,0.617482,"18,366,400","242,756,000"
"Dec 10, 2017",0.759597,0.759597,0.645100,0.690941,"4,462,490","265,859,000"
"Dec 09, 2017",0.782465,0.782465,0.708041,0.758042,"10,760,400","273,863,000"
"Dec 08, 2017",0.776695,0.814001,0.696021,0.781980,"12,751,700","271,843,000"
"Dec 07, 2017",0.909802,0.913912,0.725015,0.777056,"12,158,600","318,431,000"
"Dec 06, 2017",0.977510,0.984471,0.890548,0.916724,"14,377,300","342,129,000"
"Dec 05, 2017",0.991411,1.00,0.925489,0.979884,"13,881,100","346,994,000"
"Dec 04, 2017",0.913694,1.01,0.741734,0.991665,"23,245,800","119,993,000"
"Dec 03, 2017",1.07,1.08,0.893744,0.916937,"11,576,700",-
"Dec 02, 2017",1.17,1.18,1.00,1.07,"10,667,500",-
"Dec 01, 2017",1.27,1.27,0.867892,1.16,"25,568,500",-
"Nov 30, 2017",1.23,1.38,0.996886,1.29,"21,565,300",-
"Nov 29, 2017",1.37,1.48,1.16,1.17,"16,962,700",-
"Nov 28, 2017",1.17,1.38,1.07,1.37,"42,607,800",-
"Nov 27, 2017",0.743308,1.16,0.738365,1.16,"22,245,000",-
"Nov 26, 2017",0.719136,0.751201,0.675201,0.751201,"3,198,190",-
"Nov 25, 2017",0.630772,0.725842,0.630772,0.721115,"5,078,390",-
"Nov 24, 2017",0.497269,0.669064,0.484358,0.668625,"2,903,120",-
"Nov 23, 2017",0.462955,0.829454,0.429741,0.497920,"3,392,260",-
"Nov 22, 2017",0.504107,0.535554,0.417022,0.462559,"2,592,760",-
"Nov 21, 2017",0.482456,0.531807,0.453917,0.503455,"9,608,310",-
