Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.009138,0.020644,0.008565,0.015900,"152,907","4,300,070"
"Dec 15, 2017",0.007715,0.009330,0.007586,0.008433,"47,466","3,626,690"
"Dec 14, 2017",0.007600,0.007839,0.006604,0.007581,"37,082","3,568,840"
"Dec 13, 2017",0.008419,0.008596,0.006494,0.007624,"30,101","3,949,250"
"Dec 12, 2017",0.008516,0.010181,0.007407,0.008411,"42,774","3,990,890"
"Dec 11, 2017",0.008009,0.010102,0.007973,0.008488,"31,215","3,749,560"
"Dec 10, 2017",0.008231,0.008724,0.007212,0.008069,"21,445","3,849,910"
"Dec 09, 2017",0.008963,0.009038,0.006837,0.007559,"29,831","4,188,040"
"Dec 08, 2017",0.007919,0.009219,0.005582,0.008980,"32,947","3,695,990"
"Dec 07, 2017",0.008240,0.009310,0.006069,0.006792,"66,118","3,842,120"
"Dec 06, 2017",0.006920,0.008670,0.006920,0.008254,"62,615","3,223,820"
"Dec 05, 2017",0.008325,0.023175,0.006110,0.006936,"122,900","3,874,520"
"Dec 04, 2017",0.008301,0.009118,0.006799,0.008101,"54,607","3,859,690"
"Dec 03, 2017",0.009186,0.009757,0.006648,0.008274,"77,250","4,266,740"
"Dec 02, 2017",0.010356,0.010356,0.008436,0.008579,"45,349","4,805,720"
"Dec 01, 2017",0.009216,0.024762,0.008596,0.009650,"50,018","4,272,370"
"Nov 30, 2017",0.007630,0.009750,0.004422,0.009177,"93,591","3,533,840"
"Nov 29, 2017",0.009114,0.026531,0.006808,0.007441,"147,661","4,216,500"
"Nov 28, 2017",0.005555,0.009483,0.005174,0.009124,"130,014","2,567,530"
"Nov 27, 2017",0.004419,0.007129,0.004352,0.006241,"98,309","2,040,500"
"Nov 26, 2017",0.003053,0.004565,0.002899,0.004422,"61,102","1,408,190"
"Nov 25, 2017",0.002518,0.003056,0.002396,0.003054,"27,678","1,160,250"
"Nov 24, 2017",0.002324,0.002701,0.002270,0.002523,"10,159","1,069,950"
"Nov 23, 2017",0.002432,0.002726,0.002120,0.002328,"18,579","1,118,420"
"Nov 22, 2017",0.002434,0.003335,0.002113,0.002433,"12,906","1,118,170"
"Nov 21, 2017",0.002392,0.002898,0.002024,0.002428,"13,011","1,097,500"
"Nov 20, 2017",0.002485,0.002778,0.002056,0.002390,"21,525","1,139,020"
"Nov 19, 2017",0.003198,0.003262,0.002353,0.002675,"18,146","1,464,410"
"Nov 18, 2017",0.002548,0.004483,0.002222,0.002940,"37,466","1,165,670"
"Nov 17, 2017",0.001519,0.002521,0.001519,0.002449,"24,412","693,885"
"Nov 16, 2017",0.001214,0.001640,0.001143,0.001601,"7,508","554,240"
"Nov 15, 2017",0.000992,0.001296,0.000992,0.001259,"3,985","452,238"
"Nov 14, 2017",0.000953,0.001241,0.000902,0.000991,"5,703","434,278"
"Nov 13, 2017",0.000822,0.000992,0.000774,0.000969,"3,951","374,030"
"Nov 12, 2017",0.000955,0.001016,0.000789,0.000854,"3,012","434,248"
"Nov 11, 2017",0.000945,0.001088,0.000831,0.000852,"3,601","428,965"
"Nov 10, 2017",0.001141,0.001458,0.000844,0.000948,"12,116","516,499"
"Nov 09, 2017",0.000971,0.001396,0.000851,0.001137,"17,508","439,506"
"Nov 08, 2017",0.000925,0.001040,0.000661,0.000972,"6,432","418,405"
"Nov 07, 2017",0.000905,0.001055,0.000777,0.000862,"6,227","408,756"
"Nov 06, 2017",0.001109,0.001249,0.000651,0.000809,"6,390",-
"Nov 05, 2017",0.000516,0.001339,0.000440,0.001286,"31,510",-
"Nov 04, 2017",0.000502,0.000730,0.000298,0.000586,"15,142",-
"Nov 03, 2017",0.000505,0.000576,0.000499,0.000574,"17,310",-
