Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.069172,0.076673,0.064516,0.072755,"3,389,700","33,555,100"
"Dec 15, 2017",0.061022,0.079978,0.051153,0.068944,"4,184,230","29,540,700"
"Dec 14, 2017",0.047272,0.073965,0.043266,0.061474,"5,951,210","22,884,300"
"Dec 13, 2017",0.040785,0.051424,0.036574,0.048773,"1,548,250","19,743,700"
"Dec 12, 2017",0.044070,0.045322,0.038336,0.041977,"1,595,080","21,334,000"
"Dec 11, 2017",0.043132,0.044606,0.039148,0.043878,"1,387,960","20,880,000"
"Dec 10, 2017",0.043012,0.047936,0.036293,0.043285,"576,993","20,822,100"
"Dec 09, 2017",0.046692,0.047965,0.037050,0.042749,"1,242,510","22,603,600"
"Dec 08, 2017",0.050342,0.051046,0.041176,0.047128,"1,338,500","24,370,600"
"Dec 07, 2017",0.051693,0.086154,0.044113,0.050116,"4,016,660","25,024,500"
"Dec 06, 2017",0.045227,0.053160,0.044860,0.051208,"1,522,720","21,894,500"
"Dec 05, 2017",0.045546,0.047698,0.043331,0.045298,"618,148","22,048,400"
"Dec 04, 2017",0.048324,0.050532,0.042814,0.045521,"505,809","23,393,700"
"Dec 03, 2017",0.047887,0.053536,0.043226,0.048139,"561,504","23,181,800"
"Dec 02, 2017",0.045121,0.049458,0.040851,0.047856,"475,847","21,843,100"
"Dec 01, 2017",0.039030,0.048605,0.035517,0.045327,"507,998","18,705,100"
"Nov 30, 2017",0.036073,0.041353,0.033236,0.039185,"507,760","17,288,200"
"Nov 29, 2017",0.040473,0.053997,0.035943,0.035943,"661,018","19,396,900"
"Nov 28, 2017",0.045358,0.047758,0.039208,0.040484,"583,946","21,737,600"
"Nov 27, 2017",0.047449,0.056992,0.044132,0.044595,"605,197","22,739,900"
"Nov 26, 2017",0.051853,0.058344,0.047443,0.047899,"622,398","24,850,500"
"Nov 25, 2017",0.053081,0.059035,0.047564,0.052782,"809,077","25,439,000"
"Nov 24, 2017",0.054374,0.072299,0.050361,0.052228,"2,100,290","26,058,600"
"Nov 23, 2017",0.041163,0.078702,0.041163,0.054524,"3,893,630","19,727,300"
"Nov 22, 2017",0.025679,0.042957,0.024639,0.041073,"78,214","12,306,800"
"Nov 21, 2017",0.026054,0.029722,0.021021,0.025605,"26,272",-
"Nov 20, 2017",0.033888,0.035426,0.025816,0.026094,"27,242",-
"Nov 19, 2017",0.032038,0.038818,0.028320,0.034306,"16,908",-
"Nov 18, 2017",0.032609,0.036493,0.029516,0.032103,"26,238",-
"Nov 17, 2017",0.039374,0.039386,0.030422,0.033607,"37,539",-
"Nov 16, 2017",0.040223,0.042688,0.035734,0.039402,"22,919",-
"Nov 15, 2017",0.034218,0.041755,0.033859,0.040254,"71,177",-
"Nov 14, 2017",0.034185,0.039880,0.033706,0.034199,"32,435",-
"Nov 13, 2017",0.034280,0.039209,0.031143,0.034187,"24,427",-
"Nov 12, 2017",0.038472,0.039763,0.029232,0.034225,"27,993",-
"Nov 11, 2017",0.038436,0.042059,0.033828,0.038468,"78,789",-
"Nov 10, 2017",0.039387,0.041271,0.036118,0.036649,"77,775",-
"Nov 09, 2017",0.038605,0.042851,0.035188,0.039368,"49,783",-
"Nov 08, 2017",0.033706,0.041439,0.032384,0.038814,"94,389",-
"Nov 07, 2017",0.030833,0.035903,0.028957,0.033730,"60,526",-
"Nov 06, 2017",0.030074,0.034225,0.027266,0.030788,"40,474",-
"Nov 05, 2017",0.025430,0.031104,0.025430,0.030043,"22,759",-
"Nov 04, 2017",0.033319,0.036340,0.025358,0.025401,"40,820",-
"Nov 03, 2017",0.022684,0.050965,0.020867,0.033317,"65,849",-
"Nov 02, 2017",0.033609,0.040816,0.021733,0.022593,"57,894",-
"Nov 01, 2017",0.028678,0.043765,0.027737,0.033528,"150,813",-
"Oct 31, 2017",0.043511,0.046537,0.026726,0.028728,"199,768",-
"Oct 30, 2017",0.029556,0.044482,0.029556,0.043496,"180,346",-
