Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",9.85,10.78,9.83,10.22,"162,071","45,647,400"
"Dec 15, 2017",10.38,11.24,9.78,9.80,"129,122","48,112,700"
"Dec 14, 2017",10.70,11.31,10.16,10.37,"158,124","49,597,400"
"Dec 13, 2017",12.12,12.37,10.46,10.59,"189,293","56,175,700"
"Dec 12, 2017",11.44,12.79,10.99,12.12,"148,430","53,045,500"
"Dec 11, 2017",12.74,14.18,10.96,11.58,"241,773","54,988,900"
"Dec 10, 2017",14.04,14.63,12.14,12.82,"161,020","60,588,400"
"Dec 09, 2017",17.50,19.23,13.58,14.24,"431,775","75,557,100"
"Dec 08, 2017",8.86,18.75,7.70,15.44,"775,529","38,264,800"
"Dec 07, 2017",9.56,10.66,7.08,8.83,"348,937","41,252,500"
"Dec 06, 2017",12.41,12.89,8.56,9.58,"286,785","53,477,800"
"Dec 05, 2017",11.63,16.92,11.04,12.80,"373,142","50,146,100"
"Dec 04, 2017",13.34,14.05,9.40,11.37,"366,954","53,223,600"
"Dec 03, 2017",13.61,15.72,11.90,13.24,"375,995","54,278,000"
"Dec 02, 2017",16.97,18.32,12.56,13.60,"380,574","67,679,600"
"Dec 01, 2017",16.75,19.00,15.71,16.98,"340,310","43,181,500"
"Nov 30, 2017",17.07,18.38,14.72,16.84,"447,589","43,984,900"
"Nov 29, 2017",20.66,21.09,15.62,16.63,"629,989","53,247,300"
"Nov 28, 2017",20.84,21.67,17.24,21.13,"1,275,750","53,710,900"
"Nov 27, 2017",23.10,25.62,18.71,20.82,"1,616,410","59,528,600"
"Nov 26, 2017",25.78,28.31,22.17,23.13,"3,655,190","66,457,700"
"Nov 25, 2017",19.10,31.86,19.00,25.86,"6,779,220","49,223,000"
"Nov 24, 2017",16.93,20.38,16.49,19.08,"4,389,790","43,624,400"
"Nov 23, 2017",15.83,18.48,15.81,17.02,"4,357,250","40,792,400"
"Nov 22, 2017",19.12,22.06,15.09,15.16,"4,295,210","32,672,400"
"Nov 21, 2017",28.10,28.19,14.92,19.44,"5,678,160","48,019,600"
"Nov 20, 2017",36.56,37.54,27.47,28.16,"5,619,530","62,487,700"
"Nov 19, 2017",34.81,39.76,32.66,38.26,"7,825,690","59,488,300"
"Nov 18, 2017",35.95,40.07,27.88,34.86,"7,546,300","61,442,000"
"Nov 17, 2017",48.53,50.57,11.92,36.67,"14,911,200","82,943,000"
"Nov 16, 2017",48.00,50.77,45.44,49.03,"13,735,000","82,031,600"
"Nov 15, 2017",53.40,57.16,44.73,47.91,"9,864,870","73,439,600"
"Nov 14, 2017",41.38,56.23,41.18,53.21,"17,748,600","56,907,300"
"Nov 13, 2017",36.34,45.97,33.28,41.26,"12,814,400","49,981,700"
"Nov 12, 2017",26.62,37.66,22.49,36.90,"14,833,500","36,613,200"
"Nov 11, 2017",25.59,27.85,23.89,26.68,"11,586,400","35,186,300"
"Nov 10, 2017",28.56,30.81,25.05,25.67,"11,214,100","39,272,200"
"Nov 09, 2017",30.36,32.37,21.99,28.49,"10,571,600","41,755,000"
"Nov 08, 2017",34.96,44.58,22.85,30.39,"2,639,010","48,072,800"
"Nov 07, 2017",13.86,35.07,13.86,35.07,"13,561,800",-
"Nov 06, 2017",9.75,15.75,9.13,13.88,"5,403,300",-
"Nov 05, 2017",5.94,9.92,5.88,9.89,"5,052,850",-
"Nov 04, 2017",5.49,6.31,5.29,5.94,"2,967,070",-
"Nov 03, 2017",5.29,6.11,4.87,5.23,"2,375,510",-
"Nov 02, 2017",5.86,6.62,5.09,5.21,"2,244,530",-
"Nov 01, 2017",7.63,7.99,4.88,5.34,"1,929,840",-
"Oct 31, 2017",5.10,10.52,4.98,7.68,"2,068,160",-
"Oct 30, 2017",2.41,5.10,2.36,5.10,"1,271,590",-
"Oct 29, 2017",2.65,2.71,1.97,2.43,"38,953",-
"Oct 28, 2017",2.69,3.01,2.35,2.65,"431,154",-
"Oct 27, 2017",1.47,3.57,1.36,2.68,"268,052",-
"Oct 26, 2017",1.82,1.94,1.05,1.47,"84,558",-
"Oct 25, 2017",1.92,1.92,1.80,1.82,"58,597",-
