Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.093609,0.106460,0.077057,0.080674,"29,762,000","106,028,000"
"Dec 15, 2017",0.048460,0.092801,0.038237,0.090114,"41,838,600","54,889,600"
"Dec 14, 2017",0.034003,0.049121,0.034003,0.048809,"5,122,990","38,513,900"
"Dec 13, 2017",0.029303,0.039723,0.026785,0.034416,"3,631,290","33,190,300"
"Dec 12, 2017",0.027371,0.029369,0.024777,0.029280,"1,745,940","31,002,200"
"Dec 11, 2017",0.026268,0.027802,0.025889,0.027333,"859,828","29,753,100"
"Dec 10, 2017",0.026835,0.027655,0.024021,0.026213,"543,174","30,395,800"
"Dec 09, 2017",0.028842,0.030713,0.025828,0.026863,"1,105,650","32,668,700"
"Dec 08, 2017",0.028814,0.029344,0.024757,0.028940,"1,504,300","32,637,300"
"Dec 07, 2017",0.034898,0.034898,0.027668,0.028388,"1,928,370","39,527,900"
"Dec 06, 2017",0.036085,0.036714,0.034025,0.034736,"2,451,000","40,872,200"
"Dec 05, 2017",0.033675,0.037651,0.032068,0.036192,"2,584,480","38,142,600"
"Dec 04, 2017",0.035331,0.036582,0.031516,0.033630,"2,226,370","40,018,200"
"Dec 03, 2017",0.029984,0.038033,0.029984,0.035325,"3,716,280","33,962,400"
"Dec 02, 2017",0.027243,0.031504,0.026813,0.029977,"1,677,420","30,857,400"
"Dec 01, 2017",0.025578,0.027324,0.023127,0.027255,"1,635,340","28,971,500"
"Nov 30, 2017",0.024354,0.026934,0.021889,0.025715,"2,245,050",-
"Nov 29, 2017",0.030622,0.032825,0.024302,0.024302,"2,711,820",-
"Nov 28, 2017",0.034972,0.035416,0.027326,0.030636,"4,935,620",-
"Nov 27, 2017",0.033884,0.035383,0.033479,0.035214,"10,625,600",-
